Date,Temperature,Min_temp,Max_temp,Rain,Wind_speed,Wind_dir,Humidity,PM10,PM25,Range
2012년 1월 1일,-3.0,-6.9,0.4,0.0,2.9,290.0,64.5,87,52,2
2012년 1월 2일,-4.8,-8.3,-1.2,0.0,2.3,270.0,66.5,74,47,1
2012년 1월 3일,-4.5,-6.8,-0.2,0.4,2.5,290.0,68.3,81,53,2
2012년 1월 4일,-7.4,-9.6,-4.3,0.0,3.1,320.0,55.4,52,32,1
2012년 1월 5일,-5.7,-9.8,-1.3,0.0,1.5,290.0,49.8,47,28,1
2012년 1월 6일,-2.8,-5.6,1.3,0.0,2.5,290.0,42.9,72,35,1
2012년 1월 7일,-3.8,-8.0,2.0,0.0,1.6,20.0,46.5,95,54,2
2012년 1월 8일,-2.5,-5.5,0.4,0.0,1.7,20.0,54.3,63,38,1
2012년 1월 9일,-0.3,-1.8,2.7,0.0,1.9,250.0,66.1,145,83,2
2012년 1월 10일,-2.5,-5.8,1.5,0.0,2.5,270.0,53.9,70,40,1
2012년 1월 11일,-6.0,-8.1,-3.3,0.0,3.1,290.0,42.3,58,32,1
2012년 1월 12일,-4.6,-10.3,-0.4,0.0,2.5,270.0,56.5,34,20,1
2012년 1월 13일,-1.2,-4.1,2.6,0.0,2.5,290.0,52.8,40,21,1
2012년 1월 14일,-1.5,-6.3,2.7,0.0,2.1,270.0,51.6,40,22,1
2012년 1월 15일,-2.6,-4.7,0.3,0.0,2.4,290.0,44.5,52,27,1
2012년 1월 16일,1.0,-5.1,7.8,0.0,1.4,20.0,44.6,58,32,1
2012년 1월 17일,2.8,0.0,8.2,0.0,1.8,50.0,48.5,68,33,1
2012년 1월 18일,1.4,-2.2,5.4,0.0,1.7,290.0,39.8,150,87,2
2012년 1월 19일,5.3,1.4,8.4,0.2,2.9,70.0,54.4,14,11,0
2012년 1월 20일,5.4,3.7,8.3,0.5,3.4,70.0,61.0,14,10,0
2012년 1월 21일,2.4,-2.6,5.7,0.1,2.8,50.0,60.3,97,56,2
2012년 1월 22일,-7.7,-11.6,-2.4,0.0,4.2,290.0,37.9,37,12,1
2012년 1월 23일,-9.6,-12.2,-5.3,0.0,3.4,320.0,33.3,19,10,0
2012년 1월 24일,-7.3,-11.8,-3.1,1.6,2.5,270.0,39.9,26,16,0
2012년 1월 25일,-8.2,-11.6,-5.0,0.0,3.1,290.0,41.3,24,13,0
2012년 1월 26일,-2.9,-8.5,1.8,0.0,2.5,50.0,54.5,68,35,1
2012년 1월 27일,-0.9,-4.4,4.9,0.0,2.5,50.0,64.6,91,51,2
2012년 1월 28일,-1.8,-6.0,3.1,0.0,2.5,320.0,24.4,40,18,1
2012년 1월 29일,-2.8,-5.5,1.6,0.0,2.8,290.0,23.4,39,23,1
2012년 1월 30일,-5.6,-8.8,-0.8,0.0,2.8,270.0,22.4,34,14,1
2012년 1월 31일,-4.7,-8.5,-0.3,3.9,3.1,270.0,48.4,53,35,1
2012년 2월 1일,-12.8,-15.3,-8.1,0.0,3.9,290.0,47.9,30,16,0
2012년 2월 2일,-13.7,-17.1,-9.5,0.0,3.4,290.0,44.4,42,26,1
2012년 2월 3일,-8.6,-14.5,-3.9,0.1,2.3,20.0,54.3,34,21,1
2012년 2월 4일,-3.0,-5.2,1.0,0.2,2.3,290.0,48.5,55,32,1
2012년 2월 5일,-0.9,-4.5,4.8,0.0,1.4,50.0,36.1,47,28,1
2012년 2월 6일,0.9,-3.2,7.0,0.2,2.4,290.0,50.6,45,27,1
2012년 2월 7일,-8.7,-11.5,-0.1,0.0,5.2,290.0,42.3,40,12,1
2012년 2월 8일,-8.0,-12.1,-3.8,0.0,3.5,270.0,39.1,28,11,0
2012년 2월 9일,-4.5,-9.0,-0.5,0.0,2.5,270.0,48.9,29,11,0
2012년 2월 10일,-3.5,-6.9,1.7,0.0,2.8,20.0,46.4,40,20,1
2012년 2월 11일,-3.8,-9.2,0.8,0.0,2.6,270.0,42.5,20,12,0
2012년 2월 12일,-0.1,-5.0,4.8,0.0,1.8,250.0,34.4,30,15,0
2012년 2월 13일,3.1,0.2,8.4,0.0,2.1,50.0,26.3,96,52,2
2012년 2월 14일,3.0,-0.3,8.3,0.0,2.5,290.0,48.9,91,54,2
2012년 2월 15일,-1.3,-4.1,3.0,0.0,3.7,290.0,31.5,55,15,1
2012년 2월 16일,-2.8,-6.1,2.7,0.0,3.5,270.0,32.4,46,12,1
2012년 2월 17일,-6.4,-8.8,-2.9,0.0,4.4,290.0,35.1,40,13,1
2012년 2월 18일,-6.8,-9.6,-2.2,0.0,3.4,270.0,38.9,31,12,1
2012년 2월 19일,-4.4,-9.6,1.3,0.0,2.4,270.0,39.6,34,17,1
2012년 2월 20일,-0.2,-5.5,5.3,0.0,2.6,50.0,56.8,56,28,1
2012년 2월 21일,2.3,-0.9,5.5,0.0,1.9,70.0,59.1,114,67,2
2012년 2월 22일,5.8,-0.8,12.1,0.0,2.4,70.0,46.6,63,37,1
2012년 2월 23일,4.4,1.1,8.2,0.3,3.1,290.0,64.4,90,65,2
2012년 2월 24일,4.3,0.2,9.7,0.0,3.2,70.0,61.3,120,79,2
2012년 2월 25일,1.2,-2.3,5.0,0.0,3.8,320.0,57.4,50,19,1
2012년 2월 26일,-1.6,-4.0,3.2,0.0,3.3,290.0,33.5,45,15,1
2012년 2월 27일,-0.7,-5.9,5.2,0.0,2.4,290.0,31.3,39,19,1
2012년 2월 28일,2.1,-3.2,7.3,0.0,2.1,50.0,26.6,43,22,1
2012년 2월 29일,5.4,-1.5,11.8,0.0,2.2,20.0,27.1,40,22,1
2012년 3월 1일,8.7,4.0,14.6,0.0,1.9,270.0,20.1,57,24,1
2012년 3월 2일,6.9,5.2,9.5,0.3,3.0,50.0,54.6,12,7,0
2012년 3월 3일,6.9,2.7,12.9,0.0,3.5,70.0,47.1,25,13,0
2012년 3월 4일,6.2,3.0,9.7,0.0,5.2,70.0,49.9,11,9,0
2012년 3월 5일,5.3,3.1,8.5,7.0,5.8,70.0,66.9,10,6,0
2012년 3월 6일,3.0,1.8,4.6,8.5,4.7,270.0,81.6,108,59,2
2012년 3월 7일,3.0,-0.2,7.7,0.0,2.9,270.0,60.1,55,38,1
2012년 3월 8일,2.0,-0.3,5.2,0.0,3.5,290.0,47.8,45,25,1
2012년 3월 9일,3.4,-2.1,9.1,0.0,2.1,50.0,48.9,37,21,1
2012년 3월 10일,3.9,1.3,8.9,0.0,3.5,270.0,52.5,34,16,1
2012년 3월 11일,-2.4,-4.6,1.3,0.0,5.4,290.0,43.0,24,12,0
2012년 3월 12일,-1.6,-5.7,3.2,0.0,3.8,270.0,40.1,29,14,0
2012년 3월 13일,1.7,-3.5,6.6,0.0,2.6,250.0,49.8,35,15,1
2012년 3월 14일,3.6,1.8,5.9,0.0,3.8,230.0,70.4,123,59,2
2012년 3월 15일,5.5,-1.7,11.8,0.0,1.9,70.0,35.8,58,28,1
2012년 3월 16일,8.1,5.7,12.9,4.0,3.2,70.0,51.1,26,14,0
2012년 3월 17일,10.4,6.8,16.1,2.0,2.5,230.0,71.4,50,31,1
2012년 3월 18일,6.9,2.2,11.5,0.0,3.3,270.0,62.8,68,35,1
2012년 3월 19일,2.8,-0.5,7.2,0.0,3.1,290.0,38.0,27,10,0
2012년 3월 20일,3.1,-1.9,8.3,0.0,3.9,290.0,30.6,34,14,1
2012년 3월 21일,4.3,-0.5,10.4,0.0,2.9,270.0,36.3,42,19,1
2012년 3월 22일,7.8,3.3,11.4,0.0,2.5,250.0,53.6,136,78,2
2012년 3월 23일,5.0,2.3,9.7,22.0,3.7,70.0,82.5,10,7,0
2012년 3월 24일,3.3,1.5,6.9,3.5,5.6,270.0,54.5,26,10,0
2012년 3월 25일,3.6,0.9,7.7,0.0,4.8,270.0,36.6,20,11,0
2012년 3월 26일,3.9,-0.2,8.7,0.0,3.7,250.0,38.3,42,19,1
2012년 3월 27일,6.4,1.0,10.9,0.0,3.1,230.0,57.6,76,32,1
2012년 3월 28일,10.1,6.4,15.8,0.0,2.0,230.0,56.4,128,67,2
2012년 3월 29일,11.6,5.9,16.2,0.0,3.4,250.0,57.0,67,36,1
2012년 3월 30일,9.0,5.8,11.9,0.1,3.7,230.0,73.5,61,22,1
2012년 3월 31일,5.4,2.5,10.1,0.0,4.2,250.0,38.4,53,15,1
2012년 4월 1일,4.6,0.6,9.4,0.0,3.1,270.0,28.1,87,19,2
2012년 4월 2일,8.3,3.5,14.1,22.0,3.4,70.0,56.9,51,79,1
2012년 4월 3일,4.9,1.1,9.4,35.0,4.8,270.0,66.9,31,17,1
2012년 4월 4일,7.2,2.2,12.8,0.0,4.4,230.0,57.3,140,57,2
2012년 4월 5일,6.7,3.1,12.2,0.0,4.3,270.0,43.4,34,13,1
2012년 4월 6일,5.4,2.6,9.6,0.0,4.6,270.0,41.5,38,19,1
2012년 4월 7일,5.9,0.6,12.4,0.0,3.0,270.0,35.5,41,21,1
2012년 4월 8일,11.3,4.6,17.6,0.0,4.7,230.0,47.3,67,27,1
2012년 4월 9일,15.4,10.7,22.4,0.0,2.6,250.0,55.8,113,56,2
2012년 4월 10일,13.7,11.5,16.9,10.5,2.0,70.0,82.8,39,23,1
2012년 4월 11일,12.2,9.1,17.4,3.0,3.8,270.0,72.5,20,11,0
2012년 4월 12일,8.9,5.3,12.4,0.0,3.7,250.0,49.5,39,16,1
2012년 4월 13일,10.3,7.4,15.1,0.0,2.7,270.0,52.8,72,38,1
2012년 4월 14일,10.5,5.9,16.4,0.0,2.9,270.0,68.0,52,20,1
2012년 4월 15일,13.4,6.9,21.7,0.0,2.6,270.0,56.0,25,10,0
2012년 4월 16일,11.9,7.2,17.9,0.0,3.1,270.0,58.0,50,24,1
2012년 4월 17일,13.6,7.5,19.7,0.0,2.4,250.0,38.1,60,25,1
2012년 4월 18일,15.2,9.2,21.3,0.0,2.1,270.0,32.3,54,26,1
